"HPID","MPID","MPterm","HPterm"
"HP:0000002","MP:0001253","abnormal body height","Abnormality of body height"
"HP:0000009","MP:0010386","abnormal urinary bladder physiology","Functional abnormality of the bladder"
"HP:0000011","MP:0005302","neurogenic bladder","Neurogenic bladder"
"HP:0000013","MP:0002637","small uterus","Hypoplasia of the uterus"
"HP:0000013","MP:0001121","uterus hypoplasia","Hypoplasia of the uterus"
"HP:0000015","MP:0003615","urinary bladder diverticulum","Bladder diverticulum"
"HP:0000016","MP:0003622","ischuria","Urinary retention"
"HP:0000020","MP:0003280","urinary incontinence","Urinary incontinence"
"HP:0000021","MP:0000539","distended urinary bladder","Megacystis"
"HP:0000023","MP:0006077","inguinal hernia","Inguinal hernia"
"HP:0000024","MP:0003608","prostate gland inflammation","Prostatitis"
"HP:0000027","MP:0005159","azoospermia","Azoospermia"
"HP:0000028","MP:0011410","ectopic testis","Cryptorchidism"
"HP:0000028","MP:0002286","cryptorchism","Cryptorchidism"
"HP:0000029","MP:0013600","testis degeneration","Testicular atrophy"
"HP:0000029","MP:0003205","testicular atrophy","Testicular atrophy"
"HP:0000031","MP:0003596","epididymis inflammation","Epididymitis"
"HP:0000034","MP:0003623","hydrocele","Hydrocele testis"
"HP:0000035","MP:0001146","abnormal testis morphology","Abnormal testis morphology"
"HP:0000036","MP:0005187","abnormal penis morphology","Abnormal penis morphology"
"HP:0000037","MP:0002789","male pseudohermaphroditism","Male pseudohermaphroditism"
"HP:0000039","MP:0003598","epispadia","Epispadias"
"HP:0000041","MP:0003555","chordee","Chordee"
"HP:0000046","MP:0003611","scrotum hypoplasia","Small scrotum"
"HP:0000046","MP:0003609","small scrotum","Small scrotum"
"HP:0000047","MP:0003124","hypospadia","Hypospadias"
"HP:0000048","MP:0003612","bifid scrotum","Bifid scrotum"
"HP:0000050","MP:0009203","external male genitalia hypoplasia","Hypoplastic male external genitalia"
"HP:0000053","MP:0001148","enlarged testis","Macroorchidism"
"HP:0000054","MP:0005188","small penis","Micropenis"
"HP:0000059","MP:0003518","small labia majora","Hypoplastic labia majora"
"HP:0000060","MP:0003530","small clitoris","Clitoral hypoplasia"
"HP:0000060","MP:0009101","clitoris hypoplasia","Clitoral hypoplasia"
"HP:0000062","MP:0031377","ambiguous external genitalia","Ambiguous genitalia"
"HP:0000068","MP:0003591","urethra atresia","Urethral atresia"
"HP:0000070","MP:0011767","ureterocele","Ureterocele"
"HP:0000072","MP:0003586","dilated ureter","Hydroureter"
"HP:0000072","MP:0003585","large ureter","Hydroureter"
"HP:0000072","MP:0000536","hydroureter","Hydroureter"
"HP:0000073","MP:0011493","double ureter","Ureteral duplication"
"HP:0000074","MP:0011490","ureteropelvic junction stenosis","Ureteropelvic junction obstruction"
"HP:0000074","MP:0011491","ureteropelvic junction obstruction","Ureteropelvic junction obstruction"
"HP:0000076","MP:0003590","ureteral reflux","Vesicoureteral reflux"
"HP:0000076","MP:0001948","vesicoureteral reflux","Vesicoureteral reflux"
"HP:0000080","MP:0001919","abnormal reproductive system physiology","Abnormality of reproductive system physiology"
"HP:0000083","MP:0003606","kidney failure","Renal insufficiency"
"HP:0000086","MP:0003600","ectopic kidney","Ectopic kidney"
"HP:0000089","MP:0003446","renal hypoplasia","Renal hypoplasia"
"HP:0000091","MP:0002703","abnormal renal tubule morphology","Abnormal renal tubule morphology"
"HP:0000092","MP:0011346","renal tubule atrophy","Renal tubular atrophy"
"HP:0000095","MP:0005325","abnormal renal glomerulus morphology","Abnormal renal glomerulus morphology"
"HP:0000096","MP:0005264","glomerulosclerosis","Glomerular sclerosis"
"HP:0000098","MP:0001254","increased body height","Tall stature"
"HP:0000099","MP:0002743","glomerulonephritis","Glomerulonephritis"
"HP:0000103","MP:0001762","polyuria","Polyuria"
"HP:0000104","MP:0000520","absent kidney","Renal agenesis"
"HP:0000105","MP:0003068","enlarged kidney","Enlarged kidney"
"HP:0000107","MP:0003675","kidney cyst","Renal cyst"
"HP:0000108","MP:0011308","kidney corticomedullary cyst","Renal corticomedullary cysts"
"HP:0000110","MP:0002135","abnormal kidney morphology","Renal dysplasia"
"HP:0000113","MP:0008528","polycystic kidney","Polycystic kidney dysplasia"
"HP:0000121","MP:0003197","nephrocalcinosis","Nephrocalcinosis"
"HP:0000122","MP:0003604","single kidney","Unilateral renal agenesis"
"HP:0000123","MP:0001859","kidney inflammation","Nephritis"
"HP:0000125","MP:0011361","pelvic kidney","Pelvic kidney"
"HP:0000126","MP:0000519","hydronephrosis","Hydronephrosis"
"HP:0000135","MP:0001116","small gonad","Hypogonadism"
"HP:0000136","MP:0003559","bifid uterus","Bifid uterus"
"HP:0000138","MP:0002016","ovary cyst","Ovarian cyst"
"HP:0000139","MP:0005577","uterus prolapse","Uterine prolapse"
"HP:0000141","MP:0003376","amenorrhea","Amenorrhea"
"HP:0000142","MP:0001139","abnormal vagina morphology","Abnormal vagina morphology"
"HP:0000143","MP:0003320","rectovaginal fistula","Rectovaginal fistula"
"HP:0000148","MP:0001144","vagina atresia","Vaginal atresia"
"HP:0000151","MP:0003558","absent uterus","Aplasia of the uterus"
"HP:0000154","MP:0009881","macrostomia","Wide mouth"
"HP:0000158","MP:0009906","increased tongue size","Macroglossia"
"HP:0000159","MP:0003769","abnormal lip morphology","Abnormal lip morphology"
"HP:0000160","MP:0009880","microstomia","Narrow mouth"
"HP:0000171","MP:0009904","tongue hypoplasia","Microglossia"
"HP:0000171","MP:0009907","decreased tongue size","Microglossia"
"HP:0000174","MP:0003755","abnormal palate morphology","Abnormal palate morphology"
"HP:0000175","MP:0000111","cleft palate","Cleft palate"
"HP:0000176","MP:0013548","submucous cleft hard palate","Submucous cleft hard palate"
"HP:0000176","MP:0011615","submucous cleft palate","Submucous cleft hard palate"
"HP:0000185","MP:0013546","cleft soft palate","Cleft soft palate"
"HP:0000189","MP:0003758","narrow palate","Narrow palate"
"HP:0000190","MP:0013263","abnormal tongue frenulum morphology","Abnormal oral frenulum morphology"
"HP:0000197","MP:0003452","abnormal parotid gland morphology","Abnormal parotid gland morphology"
"HP:0000204","MP:0005170","cleft upper lip","Cleft upper lip"
"HP:0000206","MP:0030129","tongue inflammation","Glossitis"
"HP:0000214","MP:0003778","lip telangiectases","Lip telangiectasia"
"HP:0000215","MP:0030169","thick upper lip","Thick upper lip vermilion"
"HP:0000217","MP:0000624","xerostomia","Xerostomia"
"HP:0000217","MP:0000623","decreased salivation","Xerostomia"
"HP:0000218","MP:0003757","high palate","High palate"
"HP:0000219","MP:0030168","thin upper lip","Thin upper lip vermilion"
"HP:0000224","MP:0031091","hypogeusia","Hypogeusia"
"HP:0000230","MP:0030130","gum inflammation","Gingivitis"
"HP:0000238","MP:0001891","hydrocephaly","Hydrocephalus"
"HP:0000239","MP:0030388","large fontanelles","Large fontanelles"
"HP:0000242","MP:0030265","parietal bossing","Parietal bossing"
"HP:0000243","MP:0030368","trigonocephaly","Trigonocephaly"
"HP:0000245","MP:0002240","abnormal paranasal sinus morphology","Abnormal paranasal sinus morphology"
"HP:0000246","MP:0001872","sinus inflammation","Sinusitis"
"HP:0000248","MP:0000435","shortened head","Brachycephaly"
"HP:0000252","MP:0030315","small neurocranium","Microcephaly"
"HP:0000252","MP:0000433","microcephaly","Microcephaly"
"HP:0000252","MP:0005352","small cranium","Microcephaly"
"HP:0000256","MP:0000434","megacephaly","Macrocephaly"
"HP:0000260","MP:0000085","large anterior fontanelle","Wide anterior fontanel"
"HP:0000268","MP:0003742","narrow head","Dolichocephaly"
"HP:0000270","MP:0010743","delayed cranial suture closure","Delayed cranial suture closure"
"HP:0000270","MP:0030393","delayed fontanelle closure","Delayed cranial suture closure"
"HP:0000272","MP:0030377","zygomatic arch hypoplasia","Malar flattening"
"HP:0000274","MP:0030064","small face","Small face"
"HP:0000274","MP:0030065","face hypoplasia","Small face"
"HP:0000275","MP:0030067","narrow face","Narrow face"
"HP:0000276","MP:0030070","long face","Long face"
"HP:0000277","MP:0000458","abnormal mandible morphology","Abnormal mandible morphology"
"HP:0000278","MP:0030270","retrogenia","Retrognathia"
"HP:0000278","MP:0004282","retrognathia","Retrognathia"
"HP:0000278","MP:0030273","mandibular retrognathia","Retrognathia"
"HP:0000280","MP:0030074","coarse facial features","Coarse facial features"
"HP:0000283","MP:0030069","broad face","Broad face"
"HP:0000290","MP:0030031","abnormal forehead morphology","Abnormality of the forehead"
"HP:0000303","MP:0030050","large mandible","Mandibular prognathia"
"HP:0000303","MP:0010208","prognathia","Mandibular prognathia"
"HP:0000311","MP:0030072","round face","Round face"
"HP:0000316","MP:0001300","ocular hypertelorism","Hypertelorism"
"HP:0000321","MP:0030073","square face","Square face"
"HP:0000322","MP:0030193","short philtrum","Short philtrum"
"HP:0000324","MP:0030099","facial asymmetry","Facial asymmetry"
"HP:0000325","MP:0012546","triangular face","Triangular face"
"HP:0000327","MP:0000457","maxilla hypoplasia","Hypoplasia of the maxilla"
"HP:0000327","MP:0004540","small maxilla","Hypoplasia of the maxilla"
"HP:0000327","MP:0030274","maxillary retrognathia","Hypoplasia of the maxilla"
"HP:0000331","MP:0030244","short chin","Short chin"
"HP:0000340","MP:0030048","sloping forehead","Sloping forehead"
"HP:0000347","MP:0030273","mandibular retrognathia","Micrognathia"
"HP:0000347","MP:0004592","small mandible","Micrognathia"
"HP:0000347","MP:0002639","micrognathia","Micrognathia"
"HP:0000347","MP:0000460","mandible hypoplasia","Micrognathia"
"HP:0000348","MP:0030032","high forehead","High forehead"
"HP:0000350","MP:0030043","small forehead","Small forehead"
"HP:0000358","MP:0003715","posteriorly rotated ears","Posteriorly rotated ears"
"HP:0000360","MP:0003741","tinnitus","Tinnitus"
"HP:0000362","MP:0004897","otosclerosis","Otosclerosis"
"HP:0000365","MP:0006325","impaired hearing","Hearing impairment"
"HP:0000365","MP:0001967","deafness","Hearing impairment"
"HP:0000369","MP:0000024","lowered ear position","Low-set ears"
"HP:0000375","MP:0000031","abnormal cochlea morphology","Abnormal cochlea morphology"
"HP:0000377","MP:0000022","abnormal ear shape","Abnormal pinna morphology"
"HP:0000377","MP:0002177","abnormal outer ear morphology","Abnormal pinna morphology"
"HP:0000378","MP:0003735","cup-shaped ears","Cupped ear"
"HP:0000384","MP:0031305","preauricular skin tag","Preauricular skin tag"
"HP:0000385","MP:0003679","ear lobe hypoplasia","Small earlobe"
"HP:0000387","MP:0003678","absent ear lobes","Absent earlobe"
"HP:0000400","MP:0000017","big ears","Macrotia"
"HP:0000402","MP:0031285","external auditory canal stenosis","Stenosis of the external auditory canal"
"HP:0000405","MP:0006326","conductive hearing impairment","Conductive hearing impairment"
"HP:0000405","MP:0004739","conductive hearing loss","Conductive hearing impairment"
"HP:0000407","MP:0006329","sensorineural hearing impairment","Sensorineural hearing impairment"
"HP:0000407","MP:0004740","sensorineural hearing loss","Sensorineural hearing impairment"
"HP:0000410","MP:0006327","mixed hearing impairment","Mixed hearing impairment"
"HP:0000410","MP:0004741","mixed hearing loss","Mixed hearing impairment"
"HP:0000411","MP:0000021","prominent ears","Protruding ear"
"HP:0000413","MP:0009707","absent external auditory canal","Atresia of the external auditory canal"
"HP:0000420","MP:0030203","short nasal septum","Short nasal septum"
"HP:0000421","MP:0013127","epistaxis","Epistaxis"
"HP:0000422","MP:0030033","abnormal nasal bridge morphology","Abnormal nasal bridge morphology"
"HP:0000426","MP:0030037","prominent nasal bridge","Prominent nasal bridge"
"HP:0000431","MP:0000449","broad nasal bridge","Wide nasal bridge"
"HP:0000433","MP:0002238","abnormal nasal mucosa morphology","Abnormal nasal mucosa morphology"
"HP:0000452","MP:0030062","choanal stenosis","Choanal stenosis"
"HP:0000453","MP:0008970","choanal atresia","Choanal atresia"
"HP:0000456","MP:0030116","bifid nasal tip","Bifid nasal tip"
"HP:0000458","MP:0004512","anosmia","Anosmia"
"HP:0000465","MP:0012077","webbed neck","Webbed neck"
"HP:0000470","MP:0012721","short neck","Short neck"
"HP:0000472","MP:0012720","elongated neck","Long neck"
"HP:0000473","MP:0030126","torticollis","Torticollis"
"HP:0000480","MP:0010715","retina coloboma","Retinal coloboma"
"HP:0000481","MP:0001312","abnormal cornea morphology","Abnormal cornea morphology"
"HP:0000483","MP:0006151","astigmatism","Astigmatism"
"HP:0000486","MP:0005254","strabismus","Strabismus"
"HP:0000490","MP:0006198","enophthalmos","Deeply set eye"
"HP:0000492","MP:0001340","abnormal eyelid morphology","Abnormal eyelid morphology"
"HP:0000496","MP:0001389","abnormal eye movement","Abnormality of eye movement"
"HP:0000498","MP:0005251","blepharitis","Blepharitis"
"HP:0000499","MP:0013895","abnormal eyelid cilium morphology","Abnormal eyelash morphology"
"HP:0000502","MP:0001310","abnormal conjunctiva morphology","Abnormal conjunctiva morphology"
"HP:0000506","MP:0030166","increased inner canthal distance","Telecanthus"
"HP:0000508","MP:0001344","blepharoptosis","Ptosis"
"HP:0000509","MP:0001852","conjunctivitis","Conjunctivitis"
"HP:0000518","MP:0001304","cataract","Cataract"
"HP:0000519","MP:0031345","developmental cataract","Developmental cataract"
"HP:0000520","MP:0002750","exophthalmos","Proptosis"
"HP:0000522","MP:0014157","alacrima","Alacrima"
"HP:0000523","MP:0010251","subcapsular cataract","Subcapsular cataract"
"HP:0000524","MP:0006193","conjunctival telangiectasia","Conjunctival telangiectasia"
"HP:0000525","MP:0001322","abnormal iris morphology","Abnormality iris morphology"
"HP:0000526","MP:0005261","aniridia","Aniridia"
"HP:0000527","MP:0031288","long eyelid cilia","Long eyelashes"
"HP:0000528","MP:0001293","anophthalmia","Anophthalmia"
"HP:0000531","MP:0005544","corneal deposits","Corneal crystals"
"HP:0000537","MP:0006168","epicanthus inversus","Epicanthus inversus"
"HP:0000538","MP:0006223","optic nerve swelling","Pseudopapilledema"
"HP:0000540","MP:0006153","hypermetropia","Hypermetropia"
"HP:0000541","MP:0003099","retina detachment","Retinal detachment"
"HP:0000545","MP:0003100","myopia","Myopia"
"HP:0000546","MP:0001326","retina degeneration","Retinal degeneration"
"HP:0000553","MP:0005197","abnormal uvea morphology","Abnormal uvea morphology"
"HP:0000554","MP:0005515","uveitis","Uveitis"
"HP:0000555","MP:0006242","white pupil","Leukocoria"
"HP:0000557","MP:0009274","buphthalmos","Buphthalmos"
"HP:0000559","MP:0001316","corneal scarring","Corneal scarring"
"HP:0000565","MP:0005256","esotropia","Esotropia"
"HP:0000568","MP:0001297","microphthalmia","Microphthalmia"
"HP:0000573","MP:0006185","retina hemorrhage","Retinal hemorrhage"
"HP:0000577","MP:0005255","exotropia","Exotropia"
"HP:0000579","MP:0013451","nasolacrimal duct obstruction","Nasolacrimal duct obstruction"
"HP:0000581","MP:0005287","narrow eye opening","Blepharophimosis"
"HP:0000586","MP:0006213","shallow orbits","Shallow orbits"
"HP:0000588","MP:0010716","optic disk coloboma","Optic disc coloboma"
"HP:0000588","MP:0010717","optic nerve coloboma","Optic disc coloboma"
"HP:0000589","MP:0005262","coloboma","Coloboma"
"HP:0000591","MP:0002698","abnormal sclera morphology","Abnormal sclera morphology"
"HP:0000592","MP:0003102","sclera thinning","Blue sclerae"
"HP:0000593","MP:0005205","abnormal eye anterior chamber morphology","Abnormal anterior chamber morphology"
"HP:0000597","MP:0003688","ophthalmoparesis","Ophthalmoparesis"
"HP:0000601","MP:0006197","ocular hypotelorism","Hypotelorism"
"HP:0000602","MP:0003689","ophthalmoplegia","Ophthalmoplegia"
"HP:0000609","MP:0006221","optic nerve hypoplasia","Optic nerve hypoplasia"
"HP:0000610","MP:0005098","abnormal optic choroid morphology","Abnormal choroid morphology"
"HP:0000612","MP:0010714","iris coloboma","Iris coloboma"
"HP:0000613","MP:0013787","photophobia","Photophobia"
"HP:0000615","MP:0001317","abnormal pupil morphology","Abnormal pupil morphology"
"HP:0000616","MP:0002003","miotic pupils","Miosis"
"HP:0000618","MP:0002001","blindness","Blindness"
"HP:0000621","MP:0006165","entropion","Entropion"
"HP:0000622","MP:0006149","decreased visual acuity","Blurred vision"
"HP:0000629","MP:0030098","periorbital fullness","Periorbital fullness"
"HP:0000630","MP:0031139","abnormal retina artery morphology","Abnormal retinal artery morphology"
"HP:0000632","MP:0020218","abnormal tear production","Lacrimation abnormality"
"HP:0000633","MP:0020220","decreased tear production","Decreased lacrimation"
"HP:0000643","MP:0006244","eyelid muscle spasm","Blepharospasm"
"HP:0000647","MP:0012121","sclerocornea","Sclerocornea"
"HP:0000648","MP:0001059","optic nerve atrophy","Optic atrophy"
"HP:0000649","MP:0010748","abnormal visual evoked potential","Abnormality of visual evoked potentials"
"HP:0000651","MP:0006150","double vision","Diplopia"
"HP:0000656","MP:0006164","ectropion","Ectropion"
"HP:0000657","MP:0006224","oculomotor apraxia","Oculomotor apraxia"
"HP:0000658","MP:0006251","eyelid apraxia","Eyelid apraxia"
